Store,Dept,mean,sum
1,1,22513.322937062938,3219405.18
1,2,46102.09041958042,6592598.93
1,3,13150.478041958042,1880518.36
1,4,36964.154475524476,5285874.09
1,5,24257.94111888112,3468885.58
1,6,4801.7801398601405,686654.56
1,7,24566.487412587412,3513007.7
1,8,35718.25762237762,5107710.84
1,9,28062.05223776224,4012873.47
1,10,31033.386363636364,4437774.25
1,11,24919.270629370632,3563455.7
1,12,10566.545314685314,1511015.98
1,13,38692.88048951049,5533081.91
1,14,15268.550909090907,2183402.78
1,16,24151.06132867133,3453601.77
1,17,9196.557902097902,1315107.78
1,18,7765.304424778761,877479.4
1,19,1259.0185314685314,180039.65
1,20,4091.5715384615382,585094.73
1,21,7808.450559440559,1116608.43
1,22,8052.076153846153,1151446.89
1,23,21623.184685314685,3092115.41
1,24,6187.38972027972,884796.73
1,25,10152.336783216782,1451784.16
1,26,6767.9972727272725,967823.61
1,27,1374.6496503496503,196574.9
1,28,593.113986013986,84815.3
1,29,4651.04020979021,665098.75
1,30,3415.295034965035,488387.19
1,31,2408.533286713287,344420.26
1,32,8202.668391608393,1172981.58
1,33,5946.431188811189,850339.66
1,34,11530.831678321678,1648908.93
1,35,2535.7309090909093,362609.52
1,36,1476.2035664335663,211097.11
1,37,2800.4951048951048,400470.8
1,38,79978.22258741259,11436885.83
1,40,58510.40916083916,8366988.51
1,41,1064.7696503496504,152262.06
1,42,7940.326223776223,1135466.65
1,44,4872.724405594406,696799.59
1,45,23.995070422535214,1703.65
1,46,19662.98986013986,2811807.55
1,47,-116.45454545454545,-2562.0
1,48,917.72792,114715.99
1,49,11437.931258741259,1635624.17
1,51,32.71272727272727,1079.52
1,52,2355.439370629371,336827.83
1,54,90.92105263157895,12092.5
1,55,12817.843356643358,1832951.6
1,56,4000.4806293706292,572068.73
1,58,3372.4744755244756,482263.85
1,59,857.7751048951048,122661.84
1,60,1020.9958041958041,146002.4
1,67,7436.017342657343,1063350.48
1,71,2732.4733566433565,390743.69
1,72,47390.644895104895,6776862.22
1,74,11652.827412587412,1666354.32
1,77,677.0,2031.0
1,78,11.5,46.0
1,79,33974.792937062935,4858395.39
1,80,17139.314615384617,2450921.99
1,81,29780.696573426576,4258639.61
1,82,20727.86090909091,2964084.11
1,83,5704.0489510489515,815679.0
1,85,3685.8755244755243,527080.2
1,87,46006.2772027972,6578897.64
1,90,82427.54783216784,11787139.34
1,91,64238.94342657343,9186168.91
1,92,135458.96951048952,19370632.64
1,93,71699.18237762238,10252983.08
1,94,63180.568181818184,9034821.25
1,95,120772.06216783218,17270404.89
1,96,33251.831639344266,4056723.46
1,97,35207.34881118881,5034650.88
1,98,11827.770769230769,1691371.22
1,99,306.0910810810811,11325.37
2,1,30777.98076923077,4401251.25
2,2,65912.92251748251,9425547.92
2,3,17476.563356643357,2499148.56
2,4,45607.66657342658,6521896.32
2,5,30555.315314685315,4369410.09
2,6,6808.382517482517,973598.7
2,7,40477.83706293706,5788330.7
2,8,58707.36944055944,8395153.83
2,9,34375.864475524475,4915748.62
2,10,38845.85447552448,5554957.19
2,11,23382.686153846156,3343724.12
2,12,7735.9462937062945,1106240.32
2,13,46117.95923076923,6594868.17
2,14,21314.132937062936,3047921.01
2,16,27005.17965034965,3861740.69
2,17,13790.854195804195,1972092.15
2,18,11687.563008849558,1320694.62
2,19,4053.43993006993,579641.91
2,20,5748.619440559441,822052.58
2,21,9910.939860139859,1417264.4
2,22,12923.013846153846,1847990.98
2,23,29170.616573426574,4171398.17
2,24,8309.564545454545,1188267.73
2,25,15299.508391608393,2187829.7
2,26,9347.725104895104,1336724.69
2,27,1837.9546153846154,262827.51
2,28,798.9132167832167,114244.59
2,29,7111.482657342657,1016942.02
2,30,4981.155384615385,712305.22
2,31,3884.756993006993,555520.25
2,32,11755.096713286714,1680978.83
2,33,7488.096993006994,1070797.87
2,34,17595.203496503498,2516114.1
2,35,3875.588601398602,554209.17
2,36,2631.7505594405598,376340.33
2,37,4500.250769230769,643535.86
2,38,85114.996013986,12171444.43
2,39,2.34,9.36
2,40,78174.5602097902,11178962.11
2,41,2592.2207692307693,370687.57
2,42,8768.857692307693,1253946.65
2,44,7245.5411888111885,1036112.39
2,45,29.139848484848486,1923.23
2,46,29675.324545454547,4243571.41
2,47,18.068181818181817,397.5
2,48,1358.3479136690646,188810.36
2,49,15568.465664335663,2226290.59
2,51,16.226666666666667,194.72
2,52,4148.373566433566,593217.42
2,54,104.50286764705882,14212.39
2,55,13060.297692307693,1867622.57
2,56,5545.122307692308,792952.49
2,58,21610.019090909092,3090232.73
2,59,1391.5205594405595,198987.44
2,60,221.54594594594593,24591.6
2,67,12125.255594405595,1733911.55
2,71,4634.6093706293705,662749.14
2,72,72929.49664335664,10428918.02
2,74,16986.406013986016,2429056.06
2,77,817.5,1635.0
2,78,11.764,117.64
2,79,32759.096993006995,4684550.87
2,80,26041.273566433567,3723902.12
2,81,31000.484265734267,4433069.25
2,82,24647.232587412585,3524554.26
2,83,5710.719650349651,816632.91
2,85,3672.0427972027974,525102.12
2,87,24932.985804195807,3565416.97
2,90,97611.53713286713,13958449.81
2,91,80610.38034965035,11527284.39
2,92,164840.230979021,23572153.03
2,93,70581.97706293706,10093222.72
2,94,70018.67251748251,10012670.17
2,95,143588.75188811187,20533191.52
2,96,34319.06384615385,4907626.13
2,97,40697.20405594406,5819700.18
2,98,14035.40083916084,2007062.32
2,99,475.8969047619047,19987.67
3,1,7328.621048951049,1047992.8099999999
3,2,16841.775664335662,2408373.92
3,3,5509.300769230769,787830.01
3,4,8434.186503496503,1206088.67
3,5,11695.366573426572,1672437.42
3,6,2012.4118181818183,287774.89
3,7,10044.341608391609,1436340.85
3,8,8310.254195804197,1188366.35
3,9,9062.007692307692,1295867.1
3,10,10871.944125874126,1554688.01
3,11,8774.928041958041,1254814.71
3,12,2383.603006993007,340855.23
3,13,11363.06167832168,1624917.82
3,14,4626.649020979022,661610.81
3,16,7871.568321678322,1125634.27
3,17,2634.1996503496503,376690.55
3,18,2960.677739130435,340477.94
3,19,731.3131468531468,104577.78
3,20,1682.1992307692308,240554.49
3,21,1244.5296503496502,177967.74
3,22,3101.76986013986,443553.09
3,23,10913.330069930069,1560606.2
3,24,2763.627342657343,395198.71
3,25,4260.447972027972,609244.06
3,26,2850.050839160839,407557.27
3,27,500.19363636363636,71527.69
3,28,166.87006993006992,23862.42
3,29,1517.404055944056,216988.78
3,30,1243.926993006993,177881.56
3,31,878.4754545454546,125621.99
3,32,4296.111048951049,614343.88
3,33,3228.155104895105,461626.18
3,34,4579.71916083916,654899.84
3,35,1439.3255244755244,205823.55
3,36,622.6893706293706,89044.58
3,38,108598.36412587413,15529566.07
3,40,18203.10825174825,2603044.48
3,41,646.832027972028,92496.98
