Store,Type,Size,mean,sum
1,A,151315,21710.543620655993,222402808.85
2,A,202307,26898.070031256106,275382440.98
3,B,37392,6373.03398295706,57586735.07
4,A,205863,29161.210414719626,299543953.38
5,B,34875,5053.4158128680965,45475688.9
6,A,202505,21913.243623543236,223756130.64
7,B,70713,8358.76614833026,81598275.14
8,A,155078,13133.014768064679,129951181.13
9,B,125833,8772.890378933122,77789218.99
10,B,126512,26332.303818710614,271617713.89
11,A,207499,19276.762750944148,193962786.8
12,B,112238,14867.308619268419,144287230.15
13,A,219622,27355.136891350012,286517703.8
14,A,200898,28784.85172709163,288999911.34
15,B,123737,9002.493073426927,89133683.92
16,B,57197,7863.224123689506,74252425.4
17,B,93188,12954.3936364558,127782138.83
18,B,120653,15733.313136220713,155114734.21
19,A,203819,20362.126734331887,206634862.1
20,A,203742,29508.30159193264,301397792.46
21,B,140167,11283.435495721144,108117878.92
22,B,119557,15181.218886251032,147075648.57
23,B,114533,19776.180880597014,198750617.85
24,A,203819,18969.106499804457,194016021.28
25,B,128107,10308.157810077519,101061179.17
26,A,152513,14554.129672214329,143416393.79
27,A,204184,24826.98453594132,253855916.88
28,A,206302,18714.889803223574,189263680.58
29,B,93638,8158.810609201481,77141554.31
30,C,42988,8764.237719396311,62716885.12
31,A,203750,19681.907464011045,199613905.5
32,A,203007,16351.621854538325,166819246.16
33,A,39690,5728.4140527208265,37160221.96
34,A,158114,13522.08167057903,138249763.0
35,B,103681,13803.59698572628,131520672.08
36,A,39910,8584.41256348441,53412214.97
37,C,39910,10297.355026366915,74202740.32
38,C,39690,7492.478459657702,55159626.42
39,A,184109,21000.763562462038,207445542.47
40,A,155083,13763.6328032345,137870309.79
41,A,196321,17976.004648096747,181341934.89
42,C,39690,11443.370117934706,79565752.43
43,C,41062,13415.114117908457,90565435.41
44,C,39910,6038.929814479007,43293087.84
45,B,118221,11662.897314516966,112395341.42
